latitude,longitude,bright_ti4,confidence,acq_date
34.03979,-117.82123,300.6,n,2026-04-17
34.08017,-117.49741,300.77,n,2026-04-17
34.14067,-117.42631,295.4,n,2026-04-17
34.14413,-117.42543,300.8,n,2026-04-17
34.24543,-118.38197,304.26,n,2026-04-17
34.29052,-118.80256,298.88,n,2026-04-17
34.32454,-118.52792,303.79,n,2026-04-17
34.33377,-118.5209,313.03,n,2026-04-17
34.3371,-118.52007,306.45,n,2026-04-17
34.3563,-116.85403,296.12,n,2026-04-17
34.43167,-118.6441,321.06,n,2026-04-17
34.43387,-118.64577,297.84,n,2026-04-17
34.60713,-117.33773,309.99,n,2026-04-17
34.62275,-117.10155,313.77,n,2026-04-17
34.81426,-118.44318,302.74,n,2026-04-17
34.81501,-118.44752,302.34,n,2026-04-17
36.3569,-114.90967,300.63,n,2026-04-17
36.3827,-114.87747,297.94,n,2026-04-17
36.66319,-120.13562,296.02,n,2026-04-17
36.71316,-121.7679,298.35,n,2026-04-17
37.18356,-121.67893,299.61,n,2026-04-17
37.45636,-121.93004,311.29,n,2026-04-17
37.7557,-121.66164,301.06,n,2026-04-17
37.82671,-122.29704,299.51,n,2026-04-17
37.88409,-121.18462,307.05,n,2026-04-17
37.94309,-122.39678,299.95,n,2026-04-17
37.94401,-122.39482,299.32,n,2026-04-17
37.95159,-122.39828,300.2,n,2026-04-17
38.01573,-122.11418,299.85,n,2026-04-17
38.01664,-122.11149,301.45,n,2026-04-17
38.03167,-122.10097,298.47,n,2026-04-17
38.21516,-121.98399,298.24,n,2026-04-17
38.21648,-121.98615,298.71,n,2026-04-17
38.31394,-121.83324,295.56,n,2026-04-17
38.45237,-121.4612,301.84,n,2026-04-17
38.51619,-121.19151,296.18,n,2026-04-17
38.65911,-121.9043,317.34,n,2026-04-17
39.62034,-119.26393,295.1,n,2026-04-17
40.2394,-121.76857,300.97,n,2026-04-17
40.3019,-123.61606,319.09,n,2026-04-17
40.50391,-123.77446,296.88,n,2026-04-17
40.9083,-123.77797,297.71,n,2026-04-17
32.59879,-117.0091,299.56,n,2026-04-17
32.6002,-117.01145,306.01,n,2026-04-17
32.67734,-115.33758,301.63,n,2026-04-17
32.8578,-117.14916,303.05,n,2026-04-17
33.49118,-117.61535,306.04,n,2026-04-17
33.61214,-117.82348,299.72,n,2026-04-17
33.61557,-117.82259,299.05,n,2026-04-17
33.71552,-117.70818,297.16,n,2026-04-17
33.71633,-117.71267,302.82,n,2026-04-17
33.71767,-117.71082,309.68,n,2026-04-17
33.79504,-117.47611,309.67,n,2026-04-17
33.92839,-118.42921,299.29,n,2026-04-17
33.93309,-117.83737,295.67,n,2026-04-17
34.14941,-118.72059,300.75,n,2026-04-17
34.23352,-119.21204,295.48,n,2026-04-17
32.53353,-116.89822,335.63,n,2026-04-17
