acq_date,lat_bin,lon_bin,latitude,longitude,fire_count,avg_brightness,max_brightness,wind_speed,alert_flag,risk_level,probability,predicted_fire_next_day,advisory_score,advisory_level,review_flag,is_forecast,forecast_label
2026-04-17,32.5,-116.9,32.53353,-116.89822,1,335.63,335.63,0,0,High,0.0623049650469077,0,80,urgent_review,1,0,No
2026-04-17,32.6,-117.0,32.599495000000005,-117.010275,2,302.785,306.01,5,0,Medium,0.2167836070131095,0,50,prepare,1,0,No
2026-04-17,32.7,-115.3,32.67734,-115.33758,1,301.63,301.63,5,0,Medium,0.006752470238491,0,50,prepare,1,0,No
2026-04-17,32.9,-117.1,32.8578,-117.14916,1,303.05,303.05,5,0,Medium,0.0193967854193621,0,50,prepare,1,0,No
2026-04-17,33.4,-117.4,33.3709375,-117.383855,4,344.4225,347.82,5,0,High,0.118179935706389,0,90,urgent_review,1,0,No
2026-04-17,33.5,-117.6,33.49118,-117.61535,1,306.04,306.04,5,0,Medium,0.0232580746183803,0,50,prepare,1,0,No
2026-04-17,33.6,-117.8,33.613855,-117.823035,2,299.385,299.72,5,0,Low,0.1534621773520731,0,20,monitor,0,0,No
2026-04-17,33.7,-117.7,33.71650666666667,-117.71055666666666,3,303.22,309.68,5,0,Medium,0.1101705734088578,0,60,prepare,1,0,No
2026-04-17,33.8,-117.5,33.79504,-117.47611,1,309.67,309.67,5,0,Medium,0.0329210467966205,0,50,prepare,1,0,No
2026-04-17,33.9,-118.4,33.92839,-118.42921,1,299.29,299.29,5,0,Low,0.3458615342266855,0,20,monitor,0,0,No
2026-04-17,33.9,-117.8,33.93309,-117.83737,1,295.67,295.67,5,0,Low,0.3458615342266855,0,20,monitor,0,0,No
2026-04-17,34.0,-117.8,34.03979,-117.82123,1,300.6,300.6,5,0,Medium,0.07784686133137,0,50,prepare,1,0,No
2026-04-17,34.1,-118.7,34.14941,-118.72059,1,300.75,300.75,0,0,Medium,0.0008922305764411,0,50,prepare,1,0,No
2026-04-17,34.1,-117.5,34.08017,-117.49741,1,300.77,300.77,10,0,Medium,0.0070829881445644,0,50,prepare,1,0,No
2026-04-17,34.1,-117.4,34.142399999999995,-117.42587,2,298.1,300.8,10,0,Low,0.1291154192695195,0,20,monitor,0,0,No
2026-04-17,34.2,-119.2,34.23352,-119.21204,1,295.48,295.48,0,0,Low,0.0052652285508285,0,20,monitor,0,0,No
2026-04-17,34.2,-118.4,34.24543,-118.38197,1,304.26,304.26,5,0,Medium,0.0182979923412308,0,50,prepare,1,0,No
2026-04-17,34.3,-118.8,34.29052,-118.80256,1,298.88,298.88,0,0,Low,0.0052652285508285,0,20,monitor,0,0,No
2026-04-17,34.3,-118.5,34.3321525,-118.5218025,4,314.9675,336.6,5,0,High,0.0964170632156445,0,90,urgent_review,1,0,No
2026-04-17,34.4,-118.6,34.43277,-118.644935,2,309.45,321.06,0,0,Medium,0.1011844396516429,0,50,prepare,1,0,No
2026-04-17,34.4,-116.9,34.3563,-116.85403,1,296.12,296.12,5,0,Low,0.3458615342266855,0,20,monitor,0,0,No
2026-04-17,34.6,-117.3,34.60713,-117.33773,1,309.99,309.99,10,0,Medium,0.0658514102171586,0,50,prepare,1,0,No
2026-04-17,34.6,-117.1,34.62275,-117.10155,1,313.77,313.77,10,0,Medium,0.24515819070235,0,50,prepare,1,0,No
2026-04-17,34.8,-118.4,34.814635,-118.44535,2,302.54,302.74,5,0,Medium,0.2311648172081567,0,50,prepare,1,0,No
2026-04-17,35.7,-120.7,35.74165,-120.65392,1,344.02,344.02,5,0,High,0.3240229650344314,0,80,urgent_review,1,0,No
2026-04-17,36.1,-121.0,36.06422,-121.01205,1,340.98,340.98,2,0,High,0.1861292435571367,0,80,urgent_review,1,0,No
2026-04-17,36.4,-114.9,36.3698,-114.89357,2,299.285,300.63,5,0,Low,0.2375689130820269,0,20,monitor,0,0,No
2026-04-17,36.7,-121.8,36.71316,-121.7679,1,298.35,298.35,2,0,Low,0.0076556166926908,0,20,monitor,0,0,No
2026-04-17,36.7,-120.1,36.66319,-120.13562,1,296.02,296.02,5,0,Low,0.3458615342266855,0,20,monitor,0,0,No
2026-04-17,37.2,-121.7,37.18356,-121.67893,1,299.61,299.61,1,0,Low,0.0111516575987929,0,20,monitor,0,0,No
2026-04-17,37.4,-119.7,37.35466,-119.73764,1,331.5,331.5,0,0,High,0.0646377952080641,0,80,urgent_review,1,0,No
2026-04-17,37.5,-121.9,37.45636,-121.93004,1,311.29,311.29,2,0,Medium,0.0145254417751056,0,50,prepare,1,0,No
2026-04-17,37.8,-122.3,37.82671,-122.29704,1,299.51,299.51,2,0,Low,0.0076556166926908,0,20,monitor,0,0,No
2026-04-17,37.8,-121.7,37.7557,-121.66164,1,301.06,301.06,7,0,Medium,0.0022515020554442,0,50,prepare,1,0,No
2026-04-17,37.9,-122.4,37.94355,-122.3958,2,299.635,299.95,3,0,Low,0.3290102574737265,0,20,monitor,0,0,No
2026-04-17,37.9,-121.2,37.88409,-121.18462,1,307.05,307.05,3,0,Medium,0.0560706943662198,0,50,prepare,1,0,No
2026-04-17,38.0,-122.4,37.95159,-122.39828,1,300.2,300.2,5,0,Medium,0.0030071800647613,0,50,prepare,1,0,No
2026-04-17,38.0,-122.1,38.021346666666666,-122.10888,3,299.92333333333335,301.45,3,0,Medium,0.1440890890562276,0,60,prepare,1,0,No
2026-04-17,38.2,-122.0,38.21582,-121.98507,2,298.475,298.71,5,0,Low,0.1534621773520731,0,20,monitor,0,0,No
2026-04-17,38.3,-123.0,38.34281,-122.96708,1,343.91,343.91,1,0,High,0.1907261318027481,0,80,urgent_review,1,0,No
2026-04-17,38.3,-121.8,38.31394,-121.83324,1,295.56,295.56,3,0,Low,0.0498924667980757,0,20,monitor,0,0,No
2026-04-17,38.3,-121.6,38.27744,-121.63675,1,332.0,332.0,5,0,High,0.1335412080151949,0,80,urgent_review,1,0,No
2026-04-17,38.5,-122.4,38.45281,-122.42445,1,345.22,345.22,0,0,High,0.2074710624517153,0,80,urgent_review,1,0,No
2026-04-17,38.5,-121.5,38.45237,-121.4612,1,301.84,301.84,2,0,Medium,0.0,0,50,prepare,1,0,No
2026-04-17,38.5,-121.2,38.51619,-121.19151,1,296.18,296.18,3,0,Low,0.0498924667980757,0,20,monitor,0,0,No
